Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Glow-worm,Flexicom 24cx,47-047-33,28.31,25.5,23.0 - 26.8,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom 35cx,47-047-35,39.74,35.8,32.2 - 37.6,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Flexicom30cx,47-047-34,34.19,30.8,27.7 - 32.3,Between 8.8 and 9.8%,Between 8.9 and 9.5%,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Home 25c,47-019-29,28.53,25.7,23.1 - 27.0,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Glow-worm,Home 30c,47-019-30,33.97,30.6,27.5 - 32.1,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Glow-worm,Micron 30FF,41-047-16,10.92,9.84,8.9 - 10.3,N/A,N/A,N/A,N/A,14,6.8,Yes
Glow-worm,Micron 40FF,41-047-17,14.47,13.04,11.7 - 13.7,N/A,N/A,N/A,N/A,14.3,7.8,Yes
Glow-worm,Micron 50FF,47-047-18,18.18,16.38,14.7 - 17.2,N/A,N/A,N/A,N/A,15.5,10.2,Yes
Glow-worm,Sustain 25c -A ,47-019-32,28.53,25.7,23.1 - 27.0,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Glow-worm,Ultimate 50FF,41-047-55,17.87,16.1,14.5 - 16.9,N/A,N/A,N/A,N/A,12,8.1,Yes
